# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Analyzer starts are evidence only; sizes never override FPO/structural extents.
rva	size	real_size	instructions	name	source
0x02c160	0x116	0x116	91	fcn.0042c160	radare2 -AA/aflj; start evidence only
0x02c280	0x56	0x56	20	fcn.0042c280	radare2 -AA/aflj; start evidence only
0x02c550	0x269	0x269	171	fcn.0042c550	radare2 -AA/aflj; start evidence only
0x02c7c0	0x124	0x124	89	fcn.0042c7c0	radare2 -AA/aflj; start evidence only
0x02ce10	0x107	0x107	86	fcn.0042ce10	radare2 -AA/aflj; start evidence only
0x02cf20	0xfb	0xfb	84	fcn.0042cf20	radare2 -AA/aflj; start evidence only
0x02d020	0x26	0x26	16	fcn.0042d020	radare2 -AA/aflj; start evidence only
0x02d050	0x24	0x24	15	fcn.0042d050	radare2 -AA/aflj; start evidence only
0x02d0f0	0x6f	0x6f	34	fcn.0042d0f0	radare2 -AA/aflj; start evidence only
0x02d160	0x56	0x56	21	fcn.0042d160	radare2 -AA/aflj; start evidence only
0x02d1c0	0x11	0x11	6	fcn.0042d1c0	radare2 -AA/aflj; start evidence only
0x02d1e0	0x6d	0x6d	30	fcn.0042d1e0	radare2 -AA/aflj; start evidence only
0x02d250	0x1a	0x1a	11	fcn.0042d250	radare2 -AA/aflj; start evidence only
0x02d2f0	0x1	0x1	1	fcn.0042d2f0	radare2 -AA/aflj; start evidence only
0x02d3e0	0x7c	0x7c	37	fcn.0042d3e0	radare2 -AA/aflj; start evidence only
0x02d460	0x60	0x60	25	fcn.0042d460	radare2 -AA/aflj; start evidence only
0x02d4c0	0xf1	0xf1	66	fcn.0042d4c0	radare2 -AA/aflj; start evidence only
0x02d960	0x10	0x10	4	fcn.0042d960	radare2 -AA/aflj; start evidence only
0x02d970	0xae	0xae	57	fcn.0042d970	radare2 -AA/aflj; start evidence only
0x02da20	0x54	0x54	28	fcn.0042da20	radare2 -AA/aflj; start evidence only
