# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Pure six-byte bodies in exact FPO records or contiguous retail IAT-stub bands.
rva	size	iat_rva	import	evidence
0x16bd86	0x6	0x232cf0	KERNEL32.dll!CreateEventA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd8c	0x6	0x232cec	KERNEL32.dll!MapViewOfFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd92	0x6	0x232ce8	KERNEL32.dll!GetLastError	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd98	0x6	0x232ce4	KERNEL32.dll!CreateFileMappingA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bd9e	0x6	0x232ce0	KERNEL32.dll!GetFileSize	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bda4	0x6	0x232cdc	KERNEL32.dll!CreateFileA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdaa	0x6	0x232cd8	KERNEL32.dll!GlobalFree	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdb0	0x6	0x232cd4	KERNEL32.dll!GlobalUnlock	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdb6	0x6	0x232cd0	KERNEL32.dll!UnmapViewOfFile	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdbc	0x6	0x232ccc	KERNEL32.dll!GlobalMemoryStatus	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdc2	0x6	0x232cc8	KERNEL32.dll!GetVolumeInformationA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdc8	0x6	0x232cc4	KERNEL32.dll!GetTempPathA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdce	0x6	0x232cc0	KERNEL32.dll!SetCurrentDirectoryA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdd4	0x6	0x232cbc	KERNEL32.dll!GetCurrentDirectoryA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bdda	0x6	0x232cb8	KERNEL32.dll!GetTickCount	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bde0	0x6	0x232cb4	KERNEL32.dll!QueryPerformanceCounter	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bde6	0x6	0x232cb0	KERNEL32.dll!lstrcpyA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
