# Absolute-relocation sites recovered from rom1-engine-ru-buka-5ba821f3.exe by scripts/find_relocs.py.
# channels=code,data,switch dropped=data/code-isolated,unmapped
site_rva	kind
0x188f7	dir32
0x188fb	dir32
0x188ff	dir32
0x18903	dir32
0x18907	dir32
0x1890b	dir32
0x1890f	dir32
0x18913	dir32
0x18917	dir32
0x1891b	dir32
0x1891f	dir32
0x18923	dir32
0x18927	dir32
0x18cad	dir32
0x190a2	dir32
0x190f6	dir32
0x19468	dir32
0x19510	dir32
0x19cc7	dir32
0x19cf3	dir32
0x19ef9	dir32
0x19f03	dir32
0x19f21	dir32
0x19f39	dir32
0x19f4b	dir32
0x19f6e	dir32
0x19f93	dir32
0x19fb6	dir32
0x1a003	dir32
0x1a038	dir32
0x1a06d	dir32
0x1a0a1	dir32
0x1a0dd	dir32
0x1a102	dir32
0x1a136	dir32
0x1a162	dir32
0x1a1bc	dir32
0x1a325	dir32
0x1a37b	dir32
0x1a392	dir32
0x1a40c	dir32
0x1a4c4	dir32
0x1a69a	dir32
0x1a6b1	dir32
0x1a804	dir32
0x1a876	dir32
0x1a896	dir32
0x1a8ae	dir32
0x1a8f7	dir32
0x1a998	dir32
0x1ac3d	dir32
0x1ac49	dir32
0x1ac97	dir32
0x1acf9	dir32
0x1ad08	dir32
0x1ad17	dir32
0x1ad25	dir32
0x1adbe	dir32
0x1aef3	dir32
0x1af12	dir32
0x1af31	dir32
0x1af4f	dir32
0x1b016	dir32
0x1b022	dir32
0x1b073	dir32
0x1b0a6	dir32
0x1b0b1	dir32
0x1b102	dir32
0x1b12b	dir32
0x1b137	dir32
0x1b13d	dir32
0x1b542	dir32
0x1b608	dir32
0x1b60c	dir32
0x1b610	dir32
0x1b614	dir32
0x1b618	dir32
0x1b61c	dir32
0x1b63c	dir32
0x1b671	dir32
0x1b678	dir32
0x1b77d	dir32
0x1b7cd	dir32
0x1b8eb	dir32
0x1b932	dir32
0x1ba5b	dir32
0x1baab	dir32
0x1bbbd	dir32
0x1bc02	dir32
0x1bd14	dir32
0x1be04	dir32
0x1be23	dir32
0x1bf41	dir32
0x1bf88	dir32
0x1c0b1	dir32
0x1c126	dir32
0x1c2c7	dir32
0x1c320	dir32
0x1c4af	dir32
0x1c4da	dir32
0x1c614	dir32
0x1c65b	dir32
0x1c76d	dir32
0x1c7b2	dir32
0x1c8cf	dir32
0x1c906	dir32
0x1c982	dir32
0x1c99b	dir32
0x1ca0d	dir32
0x1ca56	dir32
0x1caa5	dir32
0x1cad3	dir32
0x1cb1a	dir32
0x1cb76	dir32
0x1cbb7	dir32
0x1cbd0	dir32
0x1cc11	dir32
0x1cc2a	dir32
0x1cc6b	dir32
0x1cc84	dir32
0x1ccc5	dir32
0x1ccde	dir32
0x1cd1e	dir32
0x1cd39	dir32
0x1cd79	dir32
0x1cd94	dir32
0x1cdd4	dir32
0x1cdef	dir32
0x1ce2f	dir32
0x1ce4a	dir32
0x1ce89	dir32
0x1ce9e	dir32
0x1cfdc	dir32
0x1d404	dir32
0x1d458	dir32
0x1d46f	dir32
0x1d478	dir32
0x1d4b3	dir32
0x1d5f1	dir32
0x1d900	dir32
0x1d9b3	dir32
0x1d9eb	dir32
0x1da0d	dir32
0x1da4d	dir32
0x1da81	dir32
0x1dac0	dir32
0x1dadb	dir32
0x1db11	dir32
0x1db2c	dir32
0x1db59	dir32
0x1db72	dir32
0x1db9b	dir32
0x1dc18	dir32
0x1dc2a	dir32
0x1dc36	dir32
0x1dc45	dir32
0x1dc51	dir32
0x1dc5b	dir32
0x1dcf9	dir32
0x1dd07	dir32
0x1dda9	dir32
0x1ddb7	dir32
0x1df5f	dir32
0x1df6e	dir32
0x1e026	dir32
0x1e035	dir32
0x1e1bc	dir32
0x1e230	dir32
0x1e239	dir32
0x1e24d	dir32
0x1e255	dir32
0x1e261	dir32
0x1e29f	dir32
0x1e354	dir32
0x1e368	dir32
0x1e633	dir32
0x1e639	dir32
0x1e63f	dir32
0x1e86d	dir32
0x1e873	dir32
0x1e879	dir32
0x1e932	dir32
0x1ea0d	dir32
0x1ea13	dir32
0x1ea19	dir32
0x1ea74	dir32
0x1eb4f	dir32
0x1eb55	dir32
0x1eb5b	dir32
0x1ec05	dir32
0x1ec22	dir32
0x1ece5	dir32
0x1ed02	dir32
0x1ee4f	dir32
0x1ee56	dir32
0x1ee6a	dir32
0x1eebe	dir32
0x1eed1	dir32
0x1f034	dir32
0x1f062	dir32
0x1f088	dir32
0x1f13b	dir32
0x1f271	dir32
0x1f27d	dir32
0x1f283	dir32
0x1f75e	dir32
0x1fc5c	dir32
0x1fca1	dir32
0x1fcbc	dir32
0x1fd01	dir32
0x1fd1c	dir32
0x1fd52	dir32
0x1fd9b	dir32
0x1fe32	dir32
0x1fe79	dir32
0x1fe84	dir32
0x1feb3	dir32
0x1fedb	dir32
0x1ff1b	dir32
0x1ff5e	dir32
0x1ff86	dir32
0x1ffc5	dir32
0x20004	dir32
0x20030	dir32
0x2007e	dir32
0x20099	dir32
0x20103	dir32
0x2011e	dir32
0x2014b	dir32
0x20164	dir32
0x201b0	dir32
0x201ba	dir32
0x201cf	dir32
0x2031b	dir32
0x20c2a	dir32
0x20c3b	dir32
0x20c59	dir32
0x20c67	dir32
0x20cc7	dir32
0x20cda	dir32
0x20cf0	dir32
0x20d04	dir32
0x20d3e	dir32
0x216b9	dir32
0x216ca	dir32
0x216e8	dir32
0x216f6	dir32
0x21756	dir32
0x2176a	dir32
0x2177f	dir32
0x21793	dir32
0x217c4	dir32
0x218f5	dir32
0x218fb	dir32
0x21901	dir32
0x21967	dir32
0x2196d	dir32
0x21973	dir32
0x219d8	dir32
0x219de	dir32
0x219ed	dir32
0x21b4c	dir32
0x21cee	dir32
0x21cfd	dir32
0x21d31	dir32
0x21d8b	dir32
0x21d9a	dir32
0x21dbf	dir32
0x21dc7	dir32
0x21de7	dir32
0x21def	dir32
0x21e38	dir32
0x21e40	dir32
0x21e74	dir32
0x21e7c	dir32
0x21e8e	dir32
0x21e96	dir32
0x21f4c	dir32
0x21f6b	dir32
0x21f74	dir32
0x21f7d	dir32
0x21f85	dir32
0x21f8e	dir32
0x22028	dir32
0x2203c	dir32
0x22073	dir32
0x220aa	dir32
0x220e4	dir32
0x2211e	dir32
0x2216c	dir32
0x221ba	dir32
0x2220a	dir32
0x2225a	dir32
0x2228b	dir32
0x222e1	dir32
0x222e8	dir32
0x222ed	dir32
0x22301	dir32
0x22306	dir32
0x2231a	dir32
0x2231f	dir32
0x22333	dir32
0x22338	dir32
0x2237d	dir32
0x22381	dir32
0x22385	dir32
0x22389	dir32
0x2238d	dir32
0x22391	dir32
0x22395	dir32
0x223d0	dir32
0x224fd	dir32
0x225c6	dir32
0x22613	dir32
0x22660	dir32
0x226ad	dir32
0x226fa	dir32
0x22747	dir32
0x22794	dir32
0x227e1	dir32
0x2282e	dir32
0x2287b	dir32
0x228c8	dir32
0x22915	dir32
0x22962	dir32
0x229af	dir32
0x229fc	dir32
0x22a53	dir32
0x22aa8	dir32
0x22b64	dir32
0x22bd7	dir32
0x22be8	dir32
0x22bef	dir32
0x22c19	dir32
0x22c20	dir32
0x22c47	dir32
0x22c4e	dir32
0x22e72	dir32
0x22edd	dir32
0x22ee8	dir32
0x22f53	dir32
0x22f61	dir32
0x22fd2	dir32
0x2302f	dir32
0x2309a	dir32
0x2320c	dir32
0x23896	dir32
0x238b3	dir32
0x23917	dir32
0x23ca6	dir32
0x23cc3	dir32
0x23d27	dir32
0x240b6	dir32
0x240d3	dir32
0x24137	dir32
0x24526	dir32
0x24543	dir32
0x245a7	dir32
0x24e66	dir32
0x24e83	dir32
0x24f90	dir32
0x255a6	dir32
0x255c3	dir32
0x256d0	dir32
0x25b26	dir32
0x25b43	dir32
0x25bc4	dir32
0x26006	dir32
0x26023	dir32
0x26087	dir32
0x27c71	dir32
0x27c81	dir32
0x27c91	dir32
0x27ca1	dir32
0x27cb1	dir32
0x27cc1	dir32
0x27cd1	dir32
0x27ce1	dir32
0x27cf1	dir32
0x27d01	dir32
0x27d11	dir32
0x27d24	dir32
0x27d5b	dir32
0x27da3	dir32
0x27dbf	dir32
0x27dd6	dir32
0x27e16	dir32
0x27e1c	dir32
0x27e23	dir32
0x27e60	dir32
0x27edc	dir32
0x27eeb	dir32
0x27ef9	dir32
0x27f10	dir32
0x27f20	dir32
0x27f30	dir32
0x27fe3	dir32
0x27ff8	dir32
0x28001	dir32
0x28013	dir32
0x28023	dir32
0x2802f	dir32
0x28115	dir32
0x28127	dir32
0x28130	dir32
0x28141	dir32
0x2814a	dir32
0x2815c	dir32
0x281ab	dir32
0x282b4	dir32
0x282c6	dir32
0x282cf	dir32
0x282e1	dir32
0x282f1	dir32
0x28301	dir32
0x283fd	dir32
0x2840f	dir32
0x28418	dir32
0x28429	dir32
0x28432	dir32
0x28444	dir32
0x28480	dir32
0x28484	dir32
0x28488	dir32
0x2848c	dir32
0x28490	dir32
0x28494	dir32
0x284c5	dir32
0x284e3	dir32
0x28508	dir32
0x2852e	dir32
0x28559	dir32
0x286a3	dir32
0x286bf	dir32
0x286d9	dir32
0x286f3	dir32
0x28712	dir32
0x2872c	dir32
0x287f3	dir32
0x28810	dir32
0x28850	dir32
0x2889d	dir32
0x288b8	dir32
0x288ca	dir32
0x288d6	dir32
0x288df	dir32
0x288ea	dir32
0x288f4	dir32
0x28a0a	dir32
0x28a33	dir32
0x28a55	dir32
0x28a6d	dir32
0x28a94	dir32
0x28aa6	dir32
0x28b25	dir32
0x28b4d	dir32
0x28b57	dir32
0x28b65	dir32
0x28b80	dir32
0x28b9f	dir32
0x28c18	dir32
0x28c22	dir32
0x28c53	dir32
0x28c8c	dir32
0x28cb7	dir32
0x28e4f	dir32
0x29032	dir32
0x290f2	dir32
